LER,gen,14
LER,manager,15
LER,invite,3
HER,spend,6
HER,module,16
HER,quasar,3
HER,facing,3
LER,jsc,5
HER,speck,3
LER,essays,3
LER,educator,8
HER,dot,10
LER,darwin,3
LER,09,13
LER,spinoff,8
HER,250,7
LER,conjunction,10
HER,caves2015,7
LER,robotics,15
LER,usa,13
HER,tombaugh,7
LER,budget,14
LER,opening,10
LER,videos,10
LER,worked,5
HER,hang,8
LER,nova,2
LER,redwoods,4
LER,features,17
LER,unprecedented,4
HER,philae,20
HER,explain,9
LER,musings,2
LER,newly,9
HER,iconic,3
LER,locations,3
HER,minister,6
HER,reading,8
HER,entire,12
HER,sardinia,4
HER,hpc,5
LER,dimmer,3
LER,experiment,13
LER,bubbles,8
LER,newsletter,8
HER,dish,8
LER,receives,12
HER,carrying,8
HER,inmyshoes,8
LER,amino,4
LER,win,29
LER,date,25
LER,newcastle,3
LER,conditions,5
HER,anomaly,3
HER,simple,11
HER,assembled,4
LER,helping,8
HER,door,6
HER,canadarm2,12
LER,country,8
HER,eagle,9
LER,2nd,23
LER,innovative,23
LER,oct,41
HER,groovy,6
HER,rising,11
HER,pixels,7
HER,milkyway,11
HER,thanksgiving,9
LER,electrical,3
HER,detailed,7
LER,chinese,4
HER,mystery,18
HER,3d,24
LER,office,24
HER,docks,2
HER,forms,5
LER,atmospheric,6
LER,reisman,5
HER,tarantula,5
LER,supporting,14
LER,traveled,5
HER,shining,3
HER,pattern,3
LER,meter,6
LER,ingredients,4
LER,dps12,6
LER,doug,7
HER,clearly,3
LER,brief,6
HER,zen,2
LER,scrubbed,3
LER,terminal,3
HER,spaceship,8
