user,created_time,tweet_id,user_follcount,user_following,retweet,favourite,has_media,message
bobbygoode,Fri Oct 07 03:46:34 +0000 2016,784238462870315011,935,2050,0,0,has_no_media,#climatechange is real. https://t.co/IfucQZei1Y
ivanwei,Fri Oct 07 03:46:03 +0000 2016,784238331924283392,171,155,0,0,has_no_media,All those that might get affected by #HurricaneMatthew #GL. Hopefully it isn't toO bad but this is why we gotta tackle #ClimateChange
Jackthelad1947,Fri Oct 07 03:46:01 +0000 2016,784238324860854272,24209,26023,1,0,has_no_media,The future belongs to clean energy | #auspol #COAG #Science #climatechange can't be ignored. #WApol  https://t.co/nzbYOzNdDV
tonybanzai,Fri Oct 07 03:45:14 +0000 2016,784238128143806464,393,522,0,0,has_no_media,Dear Governor Rick Scott  Now would be a great time for a jog by the beach. #HurricaneMatthew is a hoax like… https://t.co/HqOoTOTvPS
AudreyJoseph,Fri Oct 07 03:45:13 +0000 2016,784238121852342272,524,200,0,0,has_no_media,Debate moderators @andersoncooper &amp; @MarthaRaddatz: Ask the candidates about their #climatechange plans this Sunday! #Debates2016
Jesus_isPeace,Fri Oct 07 03:45:02 +0000 2016,784238076218314752,4750,4347,0,0,has_no_media,#BillWhittle Debates #CrookedHillary On #Energy &amp; #ClimateChange #ClimateHustle #Trump #AmericaFirst #MAGA #CCOT https://t.co/VLd0B9sOe8
Perceivedlogic,Fri Oct 07 03:43:15 +0000 2016,784237628300201984,604,811,0,1,has_no_media,We the #consumers are a touch #naive re #climatechange &amp; our #democratic #leaders #foremost are spinning yarns re the $ #ideology! Not good!
Perceivedlogic,Fri Oct 07 03:43:03 +0000 2016,784237577356259329,604,811,0,1,has_no_media,The #elephant in the room #avoided re #climatechange &amp; the involved #methodology  the #ideology of the "human made" #capitalism #equation!
WillSeattle,Fri Oct 07 03:42:59 +0000 2016,784237561149403136,2293,673,0,0,has_no_media,Let's get real: Insurance firms have increased risk premiums due to #ClimateChange because it IS NOW! https://t.co/A7gysuKQnt
r_cherwink,Fri Oct 07 03:42:22 +0000 2016,784237406673211392,1459,713,0,0,has_no_media,#BustTheMyth articles: https://t.co/GkQjJER0B7 &lt; #OccupyNuclear #eco #nonukes #genpatsu #antiatom #renewables… https://t.co/vGCbENKSXZ
KeithBradsher,Fri Oct 07 03:41:18 +0000 2016,784237136018931712,13343,491,0,0,has_no_media,Beware gourmets: #climatechange may hurt Italy's truffle crop https://t.co/YtkdBJpH7y
Conservative220,Fri Oct 07 03:41:10 +0000 2016,784237103513210880,2860,3122,0,0,has_no_media,@TomPaneJr Nope. It is a verifiable fact. Man made #ClimateChange is a hoax.
NaturalSurrende,Fri Oct 07 03:40:03 +0000 2016,784236820728979456,1072,1253,0,0,has_no_media,Debate moderators @andersoncooper &amp; @MarthaRaddatz: Ask the candidates about their #climatechange plans this Sunday! #Debates2016
IREDALtd,Fri Oct 07 03:39:40 +0000 2016,784236724750782464,108,81,0,0,has_no_media,The issue of #climatechange needs to be fought in unison. We need to #Act4Earth and the time is NOW !… https://t.co/XcdUxdFpws
Cramdaline,Fri Oct 07 03:39:36 +0000 2016,784236710636859392,2571,2493,0,1,has_no_media,Left declares war on ABC's Chris Uhlmann https://t.co/dPgWnwFcxT #theirABC #auspol #ClimateChange
ryanlinton1,Fri Oct 07 03:39:15 +0000 2016,784236621289971712,221,570,0,2,has_no_media,The 1928 Okeechobee hurricane was due to #climatechange
SpotlightForYou,Fri Oct 07 03:38:49 +0000 2016,784236513672384512,587,1208,0,0,has_no_media,PreliminaryList of countries/regions/states theWest owes #money 2due2 #ClimateChange: Alaska  Florida  Haiti  Nepal  GL  Tibet. Feelfree2add
Vidinterest,Fri Oct 07 03:38:17 +0000 2016,784236378561404928,473,86,0,0,has_no_media,Refining algae into bio-fuel could be a major force in combating climate change https://t.co/5UKdDoEUcx #Climatechange #GlobalWarming #Fuel
LopamudraM,Fri Oct 07 03:37:45 +0000 2016,784236245274677249,234,951,0,0,has_no_media,Debate moderators @andersoncooper &amp; @MarthaRaddatz: Ask the candidates about their #climatechange plans this Sunday! #Debates2016
ecoforestry,Fri Oct 07 03:37:36 +0000 2016,784236204006998018,1250,2084,0,0,has_no_media,#Environment and #Conservation News is out! https://t.co/KN9yXeeQ33 Stories via @ELDaily #climatechange #arctic
r_cherwink,Fri Oct 07 03:37:28 +0000 2016,784236170859294720,1459,713,1,0,has_no_media,#BustTheMyth! #Nuclear Power – No Solution to #ClimateChange! &lt; #RCDaily #OcNukeDaily #nonukes #eco #climate… https://t.co/hSon9ATb2x
Carpenter_Scott,Fri Oct 07 03:37:05 +0000 2016,784236073723367425,865,735,0,2,has_no_media,.@HillaryClinton: "Vote for me  I can stop #Hurricanes" https://t.co/vQHSMvOPZ1 #Election2016 #HurricaneMatthew #climatechange #debatenight
StrawberryCreek,Fri Oct 07 03:36:15 +0000 2016,784235867690897408,3533,3436,0,1,has_no_media,The latest Homesteading/Farming this Week! https://t.co/gcjTgaNq4a Thanks to @susanorlean @krayberry @happyhoneybees #climatechange
Petchary,Fri Oct 07 03:36:07 +0000 2016,784235832743833601,9301,8578,1,0,has_no_media,Read Flight of the Petchary ▸ #climatechange #climateaction https://t.co/aPem1M8Ce6 #Jamaica #cleanenergy
adlucc,Fri Oct 07 03:35:53 +0000 2016,784235773033902081,104,274,0,0,has_no_media,Debate moderators @andersoncooper &amp; @MarthaRaddatz: Ask the candidates about their #climatechange plans this Sunday! #Debates2016
PhoebeBeach,Fri Oct 07 03:35:18 +0000 2016,784235626547843072,1938,1712,0,0,has_no_media,@DRUDGE_REPORT @hokiedokiemike hmm  the most dramatic coverage ever. #climatechange the most dangerous problem we face #October
Zen_Forcer,Fri Oct 07 03:34:59 +0000 2016,784235545647943680,6,14,0,0,has_no_media,So many #Republicans are going straight to hell for their willful denial of #climatechange &amp; their unwillingness 2 change #HurricaneMatthew
TheMartiniShots,Fri Oct 07 03:34:57 +0000 2016,784235538777710592,68,42,0,0,has_no_media,A #presidential #candidate who doesn't believe in #climatechange has no business going anywhere near the #WhiteHouse https://t.co/jBFrjRjpiK
