neiltyson, 3.97M
BillNye, 2.3M
ProfBrianCox, 1.61M
Cmdr_Hadfield, 1.4M
RichardDawkins, 1.21M
BadAstronomer, 415K
carlzimmer, 236K
DoctorKarl, 266K
elakdawalla, 81.7K
sciencegoddess, 55K
Astro_Jeremy, 39.1K
orbitingfrog, 33.2K
carolynporco, 30.4K
plutokiller, 24.5K
b0yle, 24.5K
Thom_astro, 24.2K
DavidBrin, 23.5K
Astro_Andreas, 23.4K
deborahblum, 20K
JenLucPiquant, 18.8K
virginiahughes, 17.6K
NerdyChristie, 16.2K
Laelaps, 15.8K
ferrisjabr, 9969
d_a_howell, 1381
DrBondar, 15.1K
WhySharksMatter, 24K
BuzzHootRoar, 1649
hankgreen, 610K
vihartvihart, 51.4K
DogSpies, 4335
edyong209, 70.5K
EricHolthaus, 30.2K
marynmck, 24.1K
nadiamdrake, 9657
PlanetDr, 11.2K
coreyspowell, 11.1K
Alex_Parker, 7084
AstroKatie, 26.7K
PeterDEdmonds, 2581
alexwitze, 12.4K
betsymason, 8202
adamspacemann, 6362
eruptionsblog, 9485
MichaelEMann, 28.7K
noahWG, 22.1K
scicurious, 39.1K
j_timmer, 8445
loveofscience, 5856
Neuro_Skeptic, 64.4K
stevesilberman, 42.9K
MicrobeLover, 4262
bengoldacre, 415K
michiokaku, 445K
SamHarrisOrg, 320K
HansRosling, 245K
timberners_lee, 214K
pzmyers, 175K
sapinker, 192K
RichardWiseman, 138K
LKrauss1, 165K
Atul_Gawande, 138K
OliverSacks, 106K
EricTopol, 67K
bgreene, 55.1K
MarcusduSautoy, 37.6K
seanmcarroll, 41.2K
RandomSpaceFact, 33.7K
phylogenomics, 31.5K
JCVenter, 29.9K
vaughanbell, 31.9K
Evolutionistrue, 24.4K
kinggary, 21.6K
2020science, 16.2K
social_brains, 17.5K
sbaroncohen, 18.6K
AmyMainzer, 18.7K
kejames, 15.2K
neuroconscience, 15.2K
